,name,display_name
186,cpbellii_gene_ensembl,Painted turtle genes (Chrysemys_picta_bellii-3.0.3)
187,shabroptila_gene_ensembl,Kakapo genes (bStrHab1_v1.p)
188,bsplendens_gene_ensembl,Siamese fighting fish genes (fBetSpl5.2)
189,svulgaris_gene_ensembl,Eurasian red squirrel genes (mSciVul1.1)
190,hcomes_gene_ensembl,Tiger tail seahorse genes (H_comes_QL1_v1)
191,gmorhua_gene_ensembl,Atlantic cod genes (gadMor3.0)
192,sslargewhite_gene_ensembl,Pig - Largewhite genes (Large_White_v1)
193,cauratus_gene_ensembl,Goldfish genes (ASM336829v1)
194,sscrofa_gene_ensembl,Pig genes (Sscrofa11.1)
195,ptextilis_gene_ensembl,Eastern brown snake genes (EBS10Xv2-PRI)
196,bbbison_gene_ensembl,American bison genes (Bison_UMD1.0)
197,ssberkshire_gene_ensembl,Pig - Berkshire genes (Berkshire_pig_v1)
198,rnorvegicus_gene_ensembl,Rat genes (mRatBN7.2)
199,saraneus_gene_ensembl,Shrew genes (sorAra1)
200,ecaballus_gene_ensembl,Horse genes (EquCab3.0)
201,mauratus_gene_ensembl,Golden Hamster genes (MesAur1.0)
202,saurata_gene_ensembl,Gilthead seabream genes (fSpaAur1.1)
203,eburgeri_gene_ensembl,Hagfish genes (Eburgeri_3.2)
204,pkingsleyae_gene_ensembl,Paramormyrops kingsleyae genes (PKINGS_0.1)
205,psinus_gene_ensembl,Vaquita genes (mPhoSin1.pri)
206,fcatus_gene_ensembl,Cat genes (Felis_catus_9.0)
207,elucius_gene_ensembl,Northern pike genes (Eluc_v4)
208,spunctatus_gene_ensembl,Tuatara genes (ASM311381v1)
209,dnovemcinctus_gene_ensembl,Armadillo genes (Dasnov3.0)
210,ipunctatus_gene_ensembl,Channel catfish genes (IpCoco_1.2)
211,tnigroviridis_gene_ensembl,Tetraodon genes (TETRAODON 8.0)
212,dmelanogaster_gene_ensembl,Drosophila melanogaster genes (BDGP6.32)
213,umaritimus_gene_ensembl,Polar bear genes (UrsMar_1.0)
